Mood,Suggested Task
Sad,Watch a funny YouTube video
Sad,Journal 3 things you're grateful for
Anxious,Try a breathing exercise
Anxious,Do 5 minutes of stretching
Unmotivated,Fold just the towels
Unmotivated,Drink a full glass of water
Happy,Capture why you're happy in a voice memo
Happy,Dance it out to your favorite song
Overwhelmed,Pick one task and set a 5-minute timer
Overwhelmed,Move your clothes from dryer to bed
Low Energy,Lay outside barefoot for 5 minutes
Low Energy,Reorganize your desk for 5 minutes
